Category Order #,Feed ID,Feed Title,Guided Prayer Title,Guided Prayer Description,Create / ReCreate?,Guided Prayer Description Formatted
17,3798,Petitions,The Nations - Psalm 67:2,"That your ways may be known on earth, your salvation among all nations.",1,"That your ways may be known on earth, your salvation among all nations."
18,3798,Petitions,The Nations - Psalm 96:3,"Declare his glory among the nations, his marvelous deeds among all peoples.",1,"Declare his glory among the nations, his marvelous deeds among all peoples."
19,3798,Petitions,The Nations - Habakkuk 2:14,For the earth will be filled with the knowledge of the glory of the Lord as the waters cover the sea.,1,For the earth will be filled with the knowledge of the glory of the Lord as the waters cover the sea.
20,3798,Petitions,The Nations - Heavenly Blessing,"Pray for all of Heaven to break out around the earth:

Unreached Nations

World Issues:
Poverty, Slavery, Trafficking, War, Fatherlessness, Orphans, Hunger, and Widows

Missionaries:
Protection, Grace, Miracles, Perseverance, Open Doors to Share the Gospel ",1,"Pray for all of Heaven to break out around the earth:\n\nUnreached Nations\n\nWorld Issues:\nPoverty, Slavery, Trafficking, War, Fatherlessness, Orphans, Hunger, and Widows\n\nMissionaries:\nProtection, Grace, Miracles, Perseverance, Open Doors to Share the Gospel "
1,3799,Praise & Gratitude,Joy - Psalm 147:1,Hallelujah! Praise the Lord! How beautiful it is when we sing our praises to the beautiful God!,1,Hallelujah! Praise the Lord! How beautiful it is when we sing our praises to the beautiful God!
2,3799,Praise & Gratitude,Joy - Psalm 145:1,My heart explodes with praise to you!,1,My heart explodes with praise to you!
3,3799,Praise & Gratitude,Joy - Psalm 150:6,Let everyone everywhere join in the crescendo of ecstatic praise to Yahweh!,1,Let everyone everywhere join in the crescendo of ecstatic praise to Yahweh!
4,3799,Praise & Gratitude,Joy - Attributes,"Attributes to guide your praise:

Perfect, Holy, 
Powerful, Awesome, 
Wise, Strong, 
Caring, Humble,
Worthy, Creator,
Forgiving, Loving,
Kind, Compassionate,
True, Listening,
Unchanging, Healer,
Sustainer, Faithful,
Present, Pure 

Slow down on the words that stand out to you.",1,"Attributes to guide your praise:\n\nPerfect, Holy, \nPowerful, Awesome, \nWise, Strong, \nCaring, Humble,\nWorthy, Creator,\nForgiving, Loving,\nKind, Compassionate,\nTrue, Listening,\nUnchanging, Healer,\nSustainer, Faithful,\nPresent, Pure \n\nSlow down on the words that stand out to you."
5,3799,Praise & Gratitude,Awe - Psalm 65:8,"The whole earth is filled with awe at your wonders; where morning dawns, where evening fades, you call forth songs of joy.",1,"The whole earth is filled with awe at your wonders; where morning dawns, where evening fades, you call forth songs of joy."
6,3799,Praise & Gratitude,Awe - Genesis 28:17,How awesome is this place! This is none other than the house of God; this is the gate of heaven.,1,How awesome is this place! This is none other than the house of God; this is the gate of heaven.
7,3799,Praise & Gratitude,Awe - Psalm 33:8,"Let everyone worship Yahweh, this awe-inspiring Creator.",1,"Let everyone worship Yahweh, this awe-inspiring Creator."
8,3799,Praise & Gratitude,Awe - Reflection,"Think about each with wonder:

Vastness of Creation 

Beauty of nature  
 
Depth of His forgiveness 

Infinite love of our Father, who cares about the smallest detail.",1,"Think about each with wonder:\n\nVastness of Creation \n\nBeauty of nature  \n \nDepth of His forgiveness \n\nInfinite love of our Father, who cares about the smallest detail."
9,3799,Praise & Gratitude,Worship - Psalm 95:6 ,"Come, let us bow down in worship, let us kneel before the LORD our Maker.",1,"Come, let us bow down in worship, let us kneel before the LORD our Maker."
10,3799,Praise & Gratitude,Worship - Revelation 4:8,"Day and night they never stop saying: “Holy, holy, holy is the Lord God Almighty, who was, and is, and is to come.”",1,"Day and night they never stop saying: “Holy, holy, holy is the Lord God Almighty, who was, and is, and is to come.”"
11,3799,Praise & Gratitude,Worship - Psalm 96:9,"Worship the LORD in the splendor of holiness; tremble before him, all the earth!",1,"Worship the LORD in the splendor of holiness; tremble before him, all the earth!"
12,3799,Praise & Gratitude,Worship - Attributes,"Worship our God:

You are holy. 
You are good.
You are love. 
You are life.
You are perfect. 
You are strong. 
You are gracious. 
You are just. 
You are pure.
You are close. 
You are Creator. 
You are powerful. 
You are sovereign. 
You are never-changing.
You are all-knowing.
You are God.",1,Worship our God:\n\nYou are holy. \nYou are good.\nYou are love. \nYou are life.\nYou are perfect. \nYou are strong. \nYou are gracious. \nYou are just. \nYou are pure.\nYou are close. \nYou are Creator. \nYou are powerful. \nYou are sovereign. \nYou are never-changing.\nYou are all-knowing.\nYou are God.
13,3799,Praise & Gratitude,Gratitude - Psalm 9:1,"I will give thanks to you, LORD, with all my heart; I will tell of all your wonderful deeds.",1,"I will give thanks to you, LORD, with all my heart; I will tell of all your wonderful deeds."
14,3799,Praise & Gratitude,Gratitude - Psalm 107:21,Let them give thanks to the LORD for his unfailing love and his wonderful deeds for mankind.,1,Let them give thanks to the LORD for his unfailing love and his wonderful deeds for mankind.
15,3799,Praise & Gratitude,Gratitude - Psalm 100:4,Enter his gates with thanksgiving.,1,Enter his gates with thanksgiving.
16,3799,Praise & Gratitude,Gratitude - List,List things you are grateful for.,1,List things you are grateful for.
17,3799,Praise & Gratitude,Awakening - Psalm 108:2,I will awaken the dawn.,1,I will awaken the dawn.
18,3799,Praise & Gratitude,Awakening - Psalm 63:1,"You, God, are my God, earnestly I seek you. I thirst for you.",1,"You, God, are my God, earnestly I seek you. I thirst for you."
19,3799,Praise & Gratitude,Awakening - Luke 1:46,My soul glorifies the Lord.,1,My soul glorifies the Lord.
20,3799,Praise & Gratitude,Awakening - Psalm 5:3,"Every sunrise, you will hear my voice ... Every morning I lay out the pieces of my life on the altar.",1,"Every sunrise, you will hear my voice ... Every morning I lay out the pieces of my life on the altar."
21,3799,Praise & Gratitude,Awakening - Pray and Pause,"Pause at each phrase:

Come, Lord Jesus.

Awaken praise in my soul.

Awaken gratefulness in my heart.

Awaken awe in my mind, so I never lose my wonder. 

Awaken joy in my whole being, so I may know the joy of salvation this day.",1,"Pause at each phrase:\n\nCome, Lord Jesus.\n\nAwaken praise in my soul.\n\nAwaken gratefulness in my heart.\n\nAwaken awe in my mind, so I never lose my wonder. \n\nAwaken joy in my whole being, so I may know the joy of salvation this day."
22,3799,Praise & Gratitude,Praise - Psalm 28:7,"My heart leaps for joy, and with my song I praise him.",1,"My heart leaps for joy, and with my song I praise him."
23,3799,Praise & Gratitude,Praise - Psalm 103:1,"Praise the LORD, my soul; all my inmost being, praise his holy name.",1,"Praise the LORD, my soul; all my inmost being, praise his holy name."
24,3799,Praise & Gratitude,Praise - Psalm 42:11,"Why, my soul, are you downcast? Why so disturbed within me? Put your hope in God, for I will yet praise him, my Savior and my God.",1,"Why, my soul, are you downcast? Why so disturbed within me? Put your hope in God, for I will yet praise him, my Savior and my God."
25,3799,Praise & Gratitude,Praise - Psalm 36:5,"Your love, LORD, reaches to the heavens, your faithfulness to the skies.",1,"Your love, LORD, reaches to the heavens, your faithfulness to the skies."
26,3799,Praise & Gratitude,Praise - Exodus 15:2,"The Lord is my strength and my defense; he has become my salvation. He is my God, and I will praise him.",1,"The Lord is my strength and my defense; he has become my salvation. He is my God, and I will praise him."
27,3799,Praise & Gratitude,Praise - Psalm 59:17,"You are my strength, I sing praise to you.",1,"You are my strength, I sing praise to you."
28,3799,Praise & Gratitude,Praise - Psalm 113:1,"Praise the LORD! Praise the LORD, you his servants; praise the name of the LORD.",1,"Praise the LORD! Praise the LORD, you his servants; praise the name of the LORD."
29,3799,Praise & Gratitude,Praise - Psalm 119:164,Seven times a day I praise you.,1,Seven times a day I praise you.
30,3799,Praise & Gratitude,Praise - Psalm 119:175,Let me live that I may praise you.,1,Let me live that I may praise you.
31,3799,Praise & Gratitude,Praise - Isaiah 25:1,"LORD, you are my God; I will exalt you and praise your name, for in perfect faithfulness you have done wonderful things.",1,"LORD, you are my God; I will exalt you and praise your name, for in perfect faithfulness you have done wonderful things."
32,3799,Praise & Gratitude,Praise - Psalm 147:1,"Hallelujah! Praise the Lord!
How beautiful it is when we sing our praises to the beautiful God, for praise makes you lovely before him and brings him great delight!",1,"Hallelujah! Praise the Lord!\nHow beautiful it is when we sing our praises to the beautiful God, for praise makes you lovely before him and brings him great delight!"
33,3799,Praise & Gratitude,Praise - Psalm 145:1,My heart explodes with praise to you!,1,My heart explodes with praise to you!
34,3799,Praise & Gratitude,Praise - Psalm 148:5,Let the entire universe erupt with praise to God.,1,Let the entire universe erupt with praise to God.
35,3799,Praise & Gratitude,Praise - Psalm 150:6,Let everyone everywhere join in the crescendo of ecstatic praise to Yahweh! Hallelujah! Praise the Lord!,1,Let everyone everywhere join in the crescendo of ecstatic praise to Yahweh! Hallelujah! Praise the Lord!
36,3799,Praise & Gratitude,Praise - Psalm 34:1,I will extol the LORD at all times; his praise will always be on my lips.,1,I will extol the LORD at all times; his praise will always be on my lips.
37,3799,Praise & Gratitude,Praise - Psalm 150:6,Let everything that has breath praise the LORD. Praise the LORD.,1,Let everything that has breath praise the LORD. Praise the LORD.
1,3800,Psalms for Tough Times,Psalm 3,"But you, Lord, are a shield around me, my glory, the One who lifts my head high.",1,"But you, Lord, are a shield around me, my glory, the One who lifts my head high."
2,3800,Psalms for Tough Times,Psalm 13,"How long, Lord? Will you forget me forever? How long will you hide your face from me? ",1,"How long, Lord? Will you forget me forever? How long will you hide your face from me? "
3,3800,Psalms for Tough Times,Psalm 18,He reached down from on high and took hold of me; he drew me out of deep waters.,1,He reached down from on high and took hold of me; he drew me out of deep waters.
4,3800,Psalms for Tough Times,Psalm 22,"My God, my God, why have you forsaken me? Why are you so far from saving me?",1,"My God, my God, why have you forsaken me? Why are you so far from saving me?"
5,3800,Psalms for Tough Times,Psalm 23,"Even though I walk through the darkest valley. I will fear no evil, for you are with me.",1,"Even though I walk through the darkest valley. I will fear no evil, for you are with me."
6,3800,Psalms for Tough Times,Psalm 46,"God is our refuge and strength, an ever-present help in trouble.",1,"God is our refuge and strength, an ever-present help in trouble."
7,3800,Psalms for Tough Times,Psalm 27,The Lord is my light and my salvation-whom shall I fear!,1,The Lord is my light and my salvation-whom shall I fear!
8,3800,Psalms for Tough Times,Psalm 91,Whoever dwells in the shelter of the Most High will rest in the shadow of the Almighty.,1,Whoever dwells in the shelter of the Most High will rest in the shadow of the Almighty.
9,3800,Psalms for Tough Times,Psalm 121,I lift my eyes up to the mountains-where does my help come from?,1,I lift my eyes up to the mountains-where does my help come from?
10,3800,Psalms for Tough Times,Psalm 126,Those who sow in tears will reap with songs of joy.,1,Those who sow in tears will reap with songs of joy.
11,3800,Psalms for Tough Times,Psalm 130,Out of the depths I cry to you.,1,Out of the depths I cry to you.
1,3801,The Lord's Prayer,Our Father in Heaven,"See what great love the Father has lavished on us, that we should be called children of God.

-1 John 3:1",1,"See what great love the Father has lavished on us, that we should be called children of God.\n\n-1 John 3:1"
2,3801,The Lord's Prayer,Hallowed be your Name,"No one is like you, LORD; you are great, and your name is mighty in power.

-Jeremiah 10:6",1,"No one is like you, LORD; you are great, and your name is mighty in power.\n\n-Jeremiah 10:6"
3,3801,The Lord's Prayer,Your Kingdom come,"For the earth will be filled with the knowledge of the glory of the Lord as the waters cover the sea.

-Habakkuk 2:14",1,For the earth will be filled with the knowledge of the glory of the Lord as the waters cover the sea.\n\n-Habakkuk 2:14
4,3801,The Lord's Prayer,Your will be done,"Not my will, but yours be done.

-Luke 22:42",1,"Not my will, but yours be done.\n\n-Luke 22:42"
5,3801,The Lord's Prayer,On earth as it is in Heaven,"This is the confidence we have in approaching God: that if we ask anything according to his will, he hears us.

-1 John 5:14",1,"This is the confidence we have in approaching God: that if we ask anything according to his will, he hears us.\n\n-1 John 5:14"
6,3801,The Lord's Prayer,Give us today our daily bread,"But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.

-Isaiah 40:31",1,"But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.\n\n-Isaiah 40:31"
7,3801,The Lord's Prayer,And forgive us our debts,"Have mercy on me, oh God, according to your unfailing love.

-Psalm 51:1",1,"Have mercy on me, oh God, according to your unfailing love.\n\n-Psalm 51:1"
8,3801,The Lord's Prayer,As we also have forgiven our debtors,"Bless those who curse you, pray for those who mistreat you.

-Luke 6:28",1,"Bless those who curse you, pray for those who mistreat you.\n\n-Luke 6:28"
9,3801,The Lord's Prayer,And lead us not into temptation,"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.

-Joshua 1:9",1,"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.\n\n-Joshua 1:9"
10,3801,The Lord's Prayer,But deliver us from the evil one,"For he will command his angels concerning you to guard you in all your ways.

-Psalm 91:11",1,For he will command his angels concerning you to guard you in all your ways.\n\n-Psalm 91:11
11,3801,The Lord's Prayer,"Yours is the Kingdom, Power, and Glory, forever. Amen.","Worship the LORD in the splendor of holiness; tremble before him, all the earth.

-Psalm 96:9",1,"Worship the LORD in the splendor of holiness; tremble before him, all the earth.\n\n-Psalm 96:9"
